, 影片名,评分,评价人数,链接 
0,肖申克的救赎,9.7,2443200人评价,https://movie.douban.com/subject/1292052/
1,霸王别姬,9.6,1816473人评价,https://movie.douban.com/subject/1291546/
2,阿甘正传,9.5,1837032人评价,https://movie.douban.com/subject/1292720/
3,这个杀手不太冷,9.4,2002413人评价,https://movie.douban.com/subject/1295644/
4,泰坦尼克号,9.4,1798779人评价,https://movie.douban.com/subject/1292722/
5,美丽人生,9.6,1125711人评价,https://movie.douban.com/subject/1292063/
6,千与千寻,9.4,1917517人评价,https://movie.douban.com/subject/1291561/
7,辛德勒的名单,9.5,937559人评价,https://movie.douban.com/subject/1295124/
8,盗梦空间,9.3,1766338人评价,https://movie.douban.com/subject/3541415/
9,忠犬八公的故事,9.4,1214697人评价,https://movie.douban.com/subject/3011091/
10,星际穿越,9.3,1440311人评价,https://movie.douban.com/subject/1889243/
11,楚门的世界,9.3,1362586人评价,https://movie.douban.com/subject/1292064/
12,海上钢琴师,9.3,1435809人评价,https://movie.douban.com/subject/1292001/
13,三傻大闹宝莱坞,9.2,1609590人评价,https://movie.douban.com/subject/3793023/
14,机器人总动员,9.3,1133056人评价,https://movie.douban.com/subject/2131459/
15,放牛班的春天,9.3,1118052人评价,https://movie.douban.com/subject/1291549/
